team,fg_pct,fg3_pct,ft_pct,year,off_rtg,def_rtg,pace,fta_per_fga_pct,fg3a_per_fga_pct,ts_pct,mov,sos,wins,losses,efg_pct,orb_pct,tov_pct,ft_rate,opp_efg_pct,opp_tov_pct,drb_pct,opp_ft_rate,win_pct
PHO,.492,0.412,0.77,2010,115.3,110.2,95.3,0.312,0.261,0.585,4.90,-0.23,54,28,0.546,0.28,0.14,0.24,0.491,0.12,0.71,0.224,0.71
GSW,.469,0.375,0.782,2010,108.1,111.7,100.4,0.294,0.238,0.557,-3.60,0.32,26,56,0.514,0.21,0.13,0.23,0.525,0.15,0.68,0.26,0.29
DEN,.468,0.359,0.772,2010,111.8,107.5,94.8,0.376,0.227,0.561,4.09,0.06,53,29,0.509,0.26,0.13,0.29,0.495,0.14,0.72,0.251,0.71
UTA,.491,0.364,0.741,2010,110.7,105.0,93.8,0.34,0.184,0.565,5.34,-0.01,53,29,0.524,0.27,0.14,0.252,0.492,0.14,0.76,0.269,0.71
TOR,.482,0.371,0.764,2010,111.3,113.2,93.1,0.319,0.211,0.564,-1.78,-0.05,40,42,0.521,0.25,0.13,0.244,0.513,0.12,0.73,0.247,0.5
ORL,.470,0.375,0.724,2010,111.4,103.3,92.0,0.34,0.35,0.573,7.49,-0.37,59,23,0.536,0.25,0.14,0.246,0.477,0.12,0.77,0.205,0.71
MEM,.469,0.337,0.733,2010,108.3,109.9,93.6,0.32,0.148,0.536,-1.51,0.13,40,42,0.494,0.31,0.14,0.235,0.52,0.13,0.73,0.205,0.5
HOU,.447,0.351,0.772,2010,107.6,108.0,94.0,0.292,0.265,0.537,-0.37,0.35,42,40,0.494,0.27,0.13,0.225,0.511,0.14,0.74,0.215,0.5
NYK,.455,0.346,0.782,2010,107.6,111.6,94.0,0.256,0.312,0.547,-3.82,-0.19,29,53,0.509,0.24,0.13,0.2,0.526,0.13,0.72,0.207,0.29
CLE,.485,0.381,0.72,2010,111.2,104.1,91.4,0.341,0.248,0.57,6.52,-0.36,61,21,0.532,0.25,0.13,0.246,0.482,0.12,0.77,0.218,0.75
DAL,.464,0.372,0.816,2010,109.2,106.3,92.5,0.277,0.222,0.552,2.72,-0.06,55,27,0.506,0.24,0.12,0.226,0.495,0.14,0.74,0.206,0.71
LAL,.457,0.341,0.765,2010,108.8,103.7,92.8,0.289,0.227,0.538,4.72,0.06,57,25,0.496,0.28,0.12,0.221,0.484,0.13,0.74,0.195,0.71
ATL,.468,0.36,0.759,2010,111.9,106.7,90.1,0.281,0.214,0.545,4.66,-0.22,53,29,0.506,0.28,0.11,0.213,0.496,0.13,0.73,0.208,0.71
OKC,.462,0.34,0.805,2010,108.3,104.6,93.1,0.333,0.185,0.547,3.49,0.06,50,32,0.494,0.29,0.14,0.268,0.483,0.14,0.74,0.229,0.62
SAS,.473,0.358,0.74,2010,110.0,104.5,91.7,0.296,0.232,0.552,5.09,-0.02,50,32,0.515,0.27,0.13,0.219,0.483,0.12,0.76,0.214,0.62
