player,bpm,obpm,dbpm,vorp,age,ts_pct,mp,tov_pct,trb_pct,usg_pct,fg3a_per_fga_pct,fta_per_fga_pct,team,year,fg3_pct,fg2_pct,ft_pct
Rajon Rondo,3.6,2.2,1.4,4.2,23,0.54,2963,19.3,7.5,20.2,0.088,0.312,BOS,2010,0.213,0.536,0.621
Ray Allen,1.2,1.5,-0.3,2.3,34,0.601,2819,10.6,5.5,20.2,0.41,0.26,BOS,2010,0.363,0.556,0.913
Paul Pierce,3.0,2.3,0.7,3.0,32,0.613,2411,13.6,7.9,23.8,0.303,0.499,BOS,2010,0.414,0.497,0.852
Kendrick Perkins,-0.7,-1.7,1.0,0.7,25,0.613,2154,20.4,16.9,17.6,0.006,0.536,BOS,2010,0.0,0.605,0.582
Kevin Garnett,3.5,1.5,1.9,2.9,33,0.569,2060,10.4,15.1,22.1,0.006,0.286,BOS,2010,0.2,0.523,0.837
Rasheed Wallace,0.0,-1.6,1.6,0.9,35,0.504,1780,8.2,11.2,20.2,0.446,0.192,BOS,2010,0.283,0.511,0.768
Marquis Daniels,-2.7,-2.9,0.2,-0.2,29,0.526,937,13.3,6.2,15.8,0.112,0.225,BOS,2010,0.214,0.534,0.607
Glen Davis,-4.5,-3.2,-1.3,-0.6,24,0.5,933,13.5,13.5,19.7,0.014,0.495,BOS,2010,0.0,0.444,0.696
Tony Allen,0.4,-1.8,2.2,0.5,28,0.54,889,17.8,10.0,19.6,0.02,0.47,BOS,2010,0.0,0.52,0.605
Eddie House,-0.4,-0.4,0.0,0.3,31,0.527,846,7.4,5.0,20.3,0.519,0.124,BOS,2010,0.383,0.419,0.9
Shelden Williams,-1.4,-2.0,0.6,0.1,26,0.612,597,15.5,15.0,15.3,0.008,0.81,BOS,2010,0.0,0.525,0.765
Brian Scalabrine,-4.3,-4.4,0.1,-0.3,31,0.445,472,16.2,6.2,10.4,0.576,0.071,BOS,2010,0.327,0.361,0.667
Nate Robinson,0.2,-0.5,0.6,0.2,25,0.522,382,10.9,6.1,22.4,0.554,0.083,BOS,2010,0.414,0.386,0.615
Michael Finley,0.3,0.8,-0.5,0.2,36,0.608,314,8.2,6.4,14.6,0.471,0.069,BOS,2010,0.463,0.543,0.333
J.R. Giddens,-4.5,-5.4,0.9,-0.1,24,0.457,99,21.0,12.4,15.8,0.095,0.571,BOS,2010,0.0,0.474,0.5
Lester Hudson,-3.3,-3.7,0.4,0.0,25,0.533,70,30.4,7.0,19.9,0.278,0.333,BOS,2010,0.6,0.308,0.833
Henry Walker,-5.0,-5.2,0.1,0.0,22,0.581,29,22.5,10.6,14.4,0.0,0.333,BOS,2010,0.0,0.5,1.0
Oliver Lafayette,-1.9,1.4,-3.2,0.0,25,0.583,22,14.3,11.1,14.9,0.333,0.0,BOS,2010,0.5,0.5,0.0
Marcus Landry,-34.7,-21.4,-13.3,0.0,24,0.0,3,0.0,0.0,31.3,1.0,0.0,BOS,2010,0.0,0.0,0.0
David Lee,2.5,2.6,0.0,3.5,26,0.584,3019,11.9,17.9,23.8,0.006,0.262,NYK,2010,0.0,0.549,0.812
Danilo Gallinari,0.5,1.2,-0.7,1.7,21,0.575,2747,9.4,8.2,19.3,0.526,0.331,NYK,2010,0.381,0.469,0.818
Wilson Chandler,-2.1,-1.0,-1.1,0.0,22,0.534,2320,10.4,8.5,20.2,0.174,0.186,NYK,2010,0.267,0.524,0.806
Al Harrington,-0.8,0.8,-1.6,0.6,29,0.546,2195,10.1,10.5,26.8,0.397,0.308,NYK,2010,0.342,0.496,0.757
Chris Duhon,-2.5,-1.2,-1.3,-0.3,27,0.501,2072,18.2,4.9,13.1,0.572,0.211,NYK,2010,0.349,0.404,0.716
Jared Jeffries,-1.5,-2.5,1.0,0.2,28,0.524,1462,18.6,8.7,10.3,0.27,0.404,NYK,2010,0.323,0.488,0.645
Toney Douglas,-0.4,0.5,-0.8,0.5,23,0.571,1087,11.6,5.6,19.8,0.448,0.174,NYK,2010,0.389,0.514,0.809
Larry Hughes,-1.8,-1.9,0.1,0.0,31,0.473,820,15.1,7.6,20.4,0.348,0.283,NYK,2010,0.289,0.407,0.823
Henry Walker,-0.3,0.6,-0.9,0.3,22,0.651,739,9.5,6.4,16.7,0.513,0.208,NYK,2010,0.431,0.609,0.787
